category,company,env_relevant,has_metric,sentence,source_file,year
other,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,False,"Resolute Forest Products took concrete action to reduce greenhouse gas (GHG) emissions at their pulp, paper, tissue and wood products mills across the United States and Canada by improving the energy efficiency of their op- erations, producing renewable energy and managing water efficiently, as well as reducing waste and reliance on fossil fuels.",american-forest-paper-association_2020_esg.jsonl,2020
other,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,False,These actions have allowed Res- olute to reduce their absolute GHG emissions (Scope 1,american-forest-paper-association_2020_esg.jsonl,2020
metric,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,True,"2) by 81 percent relative to 2000 levels, benefiting both the environment",american-forest-paper-association_2020_esg.jsonl,2020
metric,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,True,"2018, the mill achieved a 15 percent reduction in overall water use",american-forest-paper-association_2020_esg.jsonl,2020
metric,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,True,"an 18 percent reduction in water use per ton of paper production, 2018 AF&PA SUSTAINABILITY AWARD WINNER",american-forest-paper-association_2020_esg.jsonl,2020
metric,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,True,increasing production by 10 percent.,american-forest-paper-association_2020_esg.jsonl,2020
metric,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,True,"Specifically, when adjusted to provide greater weight to reductions occurring at mills in water- stressed areas, AF&PA members reduced their process water use by 13.1 percent.14",american-forest-paper-association_2020_esg.jsonl,2020
vision,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,False,"we have not achieved our ambitious goal, our progress has shown significant effort to improve water resource management.",american-forest-paper-association_2020_esg.jsonl,2020
vision,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,False,"Five of our six goals demonstrate AF&PA members’ commitment to environmental stewardship across the entire value chain from the raw, renewable wood fiber that is harvested to the energy and water used in the manufacturing process to the recovery of paper and paper-based pack- aging that is used to make new products.",american-forest-paper-association_2020_esg.jsonl,2020
other,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,False,"RESPONSIBLE MANUFACTURING ENSURES Naheola, which produces consumer prod- NO PART OF THE TREE GOES TO WASTE ucts such as bath tissue and paper towels, The paper and wood products industry uses every part of the tree responsibly to replaced two legacy boilers and created a make essential and innovative products for everyday life.",american-forest-paper-association_2020_esg.jsonl,2020
other,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,False,"In short, paper and wood products keep lands forested, store carbon, are biode- gradable and support our nation’s recycling system.",american-forest-paper-association_2020_esg.jsonl,2020
other,AMERICAN-FOREST-PAPER-ASSOCIATION_ESG,True,False,"Specifically, the WRI Overall Water Risk factor, which increases in more “water-stressed” regions, was multiplied by mill-specific water use, effectively giving more weight to reductions in water stressed regions when calculating an association-wide average.",american-forest-paper-association_2020_esg.jsonl,2020
vision,LSE_RIGD_ESG,True,False,"Reliance Retail opened 1,456 new consultation at home and above all These complex deepwater projects to achieve the lofty goals we have set Business environment for O2C segment stores taking the total store count to The growing demand for energy kept families connected through the have been executed in over 34 ourselves for our Golden Decade.",LSE_RIGD_2021_esg.jsonl,2021
vision,LSE_RIGD_ESG,True,False,"Expanding selling ecosystem • Net Carbon Zero Largest all-IP mobility network to ensure Largest retailing footprint in India, with physical RIL targets to become a Net Carbon Zero New De-carbonisation connectivity across the country and enabling a and digital distribution presence and 2/3rd of stores company by 2035.",LSE_RIGD_2021_esg.jsonl,2021
governance,LSE_RIGD_ESG,True,False,"`14,817 “Three Lines of Defense” 2.3+ At Reliance, we are aligned crore crore risk management approach to the global agenda of 2018-19 de-carbonisation, and targets 2018-19 12,488 2.1+ • Risk and Governance to become a Net Carbon Zero 2019-20 2019-20 14,075 2.2+ PG 124 Company by 2035.",LSE_RIGD_2021_esg.jsonl,2021
vision,LSE_RIGD_ESG,True,False,The Company aims to bring the best technologies recycling and diverting post-consumer waste away from landfill while creating awareness about the and companies to India for elimination of plastic waste.,LSE_RIGD_2021_esg.jsonl,2021
other,LSE_RIGD_ESG,True,False,"In the long R|Elan™ collaborated with Forest Essentials™, the Ayurveda- by supporting the ‘Fight Pollution, Not Plastics’ (FPNP) term, the Company is looking at chemical recycling, plastic based skincare and perfume brand, in September 2020 to awareness campaign, school engagement campaigns and waste composites and design for circularity.",LSE_RIGD_2021_esg.jsonl,2021
other,LSE_RIGD_ESG,True,False,"and to ensure India’s fuel and energy The Company, thus, announced the security.",LSE_RIGD_2021_esg.jsonl,2021
vision,LSE_RIGD_ESG,True,False,The Company considers the Net Carbon Zero target as its moral responsibility to protect the earth from the rising impact of climate change.,LSE_RIGD_2021_esg.jsonl,2021
governance,LSE_RIGD_ESG,True,False,"It focuses on the areas of and sustainability action plans, which as reduced energy intensity for Indian clean air and water, preventing soil are monitored and reviewed regularly.",LSE_RIGD_2021_esg.jsonl,2021
other,LSE_RIGD_ESG,True,False,"These projects increased crude to of the world’s first carbon-neutral Risk team periodically monitors the chemicals conversion, provided oil sourced by Reliance quarterly review of business plans.",LSE_RIGD_2021_esg.jsonl,2021
other,LSE_RIGD_ESG,True,False,The key performance parameters that into fabric such as Recron Green Alternative Energy R|ELAN™ — Future- sufficiency for Reliance and improved downs and shut-downs are being tracked in our Hydrocarbon Gold.,LSE_RIGD_2021_esg.jsonl,2021
other,LSE_RIGD_ESG,True,False,We plan to more than double Reliance has increased the use ready Fabrics energy security for India.,LSE_RIGD_2021_esg.jsonl,2021
vision,LSE_RIGD_ESG,True,False,"As societal needs evolve, 2 LED at retail stores, translucent roof- to evaluate and mitigate ecosystem facilitate conversion to renewable brand, to encourage recycling of sustainable fashion award, Reliance is committed to participate and sheets at the warehouses, design impact.",LSE_RIGD_2021_esg.jsonl,2021
vision,LSE_RIGD_ESG,True,False,This and offers a viable alternative to firms to commit to WEF-IBC metrics ensures its operations have no net materials at competitive costs waste will be processed and non-sustainable materials.,LSE_RIGD_2021_esg.jsonl,2021
vision,LSE_RIGD_ESG,True,False,to achieve Net Carbon Zero target of the lowest carbon intensities per 2.3+ R|Elan™ has conceptualised and TB of data usage compared to other crore sooner than 2035.,LSE_RIGD_2021_esg.jsonl,2021
other,LSE_RIGD_ESG,True,False,The Company manages and to grow sustainably while meeting • Energy Conservation and Fuel Mix reduce dependency on new and Control & Real Time Optimiser (APC Week 2020.,LSE_RIGD_2021_esg.jsonl,2021
other,LSE_RIGD_ESG,True,False,"It is taking Optimisation on a real-time basis virgin resources. & RTO) systems to improve on energy withdrawn, discharged and recycled proactive steps to accelerate this Using cutting-edge technology, • Deeper integration efficiency and resource conservation.",LSE_RIGD_2021_esg.jsonl,2021
other,LSE_RIGD_ESG,True,False,"It is now across the entire value chain - preference for environment-friendly microbial properties and R|Elan™ horticulture activities and in firewater authorised to collect e-waste sourcing, production, storage, products, Reliance supports initiatives Kooltex, which keeps the wearer networks.",LSE_RIGD_2021_esg.jsonl,2021
metric,LSE_RIGD_ESG,True,True,The entire operations were increased by 56% to,LSE_RIGD_2021_esg.jsonl,2021
other,LSE_RIGD_ESG,True,False,India’s first ultra- carried out despite minimum staff,LSE_RIGD_2021_esg.jsonl,2021
other,LSE_RIGD_ESG,True,False,"pandemic related restrictions owing to 1,732 MHz deepwater gas field high degree of automation",LSE_RIGD_2021_esg.jsonl,2021
vision,LSE_RIGD_ESG,True,False,"The The Company’s strong international as a mobile video network from the Company aims to increase the share and domestic supply chain, robust ground up, supporting Voice over LTE of natural gas in India’s energy mix.",LSE_RIGD_2021_esg.jsonl,2021
other,LSE_RIGD_ESG,True,False,"improve agricultural productivity, use institutes working on developing CO as a valuable feedstock, provide next-gen technology solutions to The Company acknowledges that 2 access to the internet at an affordable solve some of the most pressing the first three industrial revolutions price and reimagine entire energy Indian and global challenges.",LSE_RIGD_2021_esg.jsonl,2021
vision,LSE_RIGD_ESG,True,False,"A contribute to the Company’s Net is to create innovative products and device to monitor the health of rotary others), which can be produced on 5 KBPSD MCC demonstration plant supporting emerging Carbon Zero target.",LSE_RIGD_2021_esg.jsonl,2021
other,LSE_RIGD_ESG,True,False,"a pilot facility where it converts house FCC catalyst to improve • The Reliance R&D team developed a fibre composites to make lightweight sunlight, CO 2 and seawater to Climate Action automotive body parts.",LSE_RIGD_2021_esg.jsonl,2021
other,LSE_RIGD_ESG,True,False,"To the fullest extent Disclosures in the Integrated Annual Report for Financial Year 2020-21 procedures regarding their were obtained to support our permitted by law, we do not accept or consistency with the application conclusions on the information and assume responsibility to anyone other To the Management of Assurance Standards reduction in energy consumption, of GRI Standards.",LSE_RIGD_2021_esg.jsonl,2021
action,LSE_RIGD_ESG,True,False,"Braving the intermittent COVID Jio maintained its market leadership The rapid growth in vaccinations and Net Carbon Zero handset affordability has proven restrictions, the Retail business for a third year in a row through reopening of economies helped a The Company had achieved a net a major hurdle for over 250 million continued to expand offline, as well FY 2021-22.",LSE_RIGD_2022_esg.jsonl,2022
marketing,LSE_RIGD_ESG,True,False,"Jio has greatly reduce the carbon footprint of and 40-year issuances by a private In our New Commerce initiative, the the leader in fiber based wireline could eliminate our dependence also developed several use cases for the Jamnagar complex.",LSE_RIGD_2022_esg.jsonl,2022
other,LSE_RIGD_ESG,True,False,"We are actively investing and India and globally Significant captive demand for Green Energy partnering to take this forward, and building Power electronics systems required internally within the Reliance Group to support renewable energy such as a scalable and enabling energy ecosystem.",LSE_RIGD_2022_esg.jsonl,2022
vision,LSE_RIGD_ESG,True,False,"(According to Renewable Energy Country Attractiveness index by EY.) embrace disruptive pathways to Innovation’ movement, made more than 175 achieve our goals.",LSE_RIGD_2022_esg.jsonl,2022
other,LSE_RIGD_ESG,True,False,"In particular, it supports small producers to Technology platforms & ecosystem solutions O2C, New Energy and New Materials Company modernise their operations, minimise inefficiencies and Continuous platform building based on cutting-edge, with a sustainable and circular business model reduce leakages.",LSE_RIGD_2022_esg.jsonl,2022
vision,LSE_RIGD_ESG,True,False,RIL targets to become a Net Carbon Zero company by Complementing traditional fuels with clean Connected supply chain Ultra-broadband 2035.,LSE_RIGD_2022_esg.jsonl,2022
governance,LSE_RIGD_ESG,True,False,"Governance and electrochemical transformations to use CO as Reliance's three-pronged approach 2 Robust corporate governance policies, a valuable feedstock informed risk management and a keen eye Making CO Replacing Transitioning on emerging opportunities underline our 2 • Algae to Oil, is a technology a recyclable transportation fuel to clean energy Governance approach.",LSE_RIGD_2022_esg.jsonl,2022
other,LSE_RIGD_ESG,True,False,"5.75+ water, food and nutrition, women’s and distribution of relief materials, crore empowerment and access to supporting local government to help lives touched since inception knowledge resources.",LSE_RIGD_2022_esg.jsonl,2022
other,LSE_RIGD_ESG,True,False,"` to spectrum aggregating to 30,791 delivered resilient performance by intensification of inflationary pressure Steady recovery in global oil and The Company raised $9 billion from crore and financed it through INR leveraging the strong international due to continued disruption in global energy markets supported robust fuel global and local investors in the Loans and INR Debenture.",LSE_RIGD_2022_esg.jsonl,2022
other,LSE_RIGD_ESG,True,False,"At Sahakari Bhandar, we have taken many Since its inception (June 2010), Go Green with Tetra Pak recycling initiatives to reduce the waste to reach landfills.",LSE_RIGD_2022_esg.jsonl,2022
other,LSE_RIGD_ESG,True,False,"Therefore, the As the Company progressively equal to the carrying value of nature of risk and returns for the transitions to renewables as its the gasification assets as on the gasification streams are likely to primary source of energy, more appointed date of the scheme of become distinct from those of the syngas will become available arrangement.",LSE_RIGD_2022_esg.jsonl,2022
other,LSE_RIGD_ESG,True,False,"for upgrading to high value In addition, the Company is The gasification project at chemicals, including C1 chemicals exploring various opportunities Jamnagar was set up with the and hydrogen, thus sharply to bring in strategic and other objective of producing syngas to reducing the carbon footprint of investors in RSL.",LSE_RIGD_2022_esg.jsonl,2022
vision,LSE_RIGD_ESG,True,False,"It is another significant milestone in India’s of its people and assets during the pandemic while ensuring timely energy landscape and showcases Reliance’s continued project delivery, safe and reliable operations and ramping up the commitment in the journey towards a greener gas-based new fields to peak production.",LSE_RIGD_2022_esg.jsonl,2022
other,LSE_RIGD_ESG,True,False,"With the Water till date; 6 anganwadis were • RF supported efficient irrigation resurgence in economic activities, renovated in FY 2021-22.",LSE_RIGD_2022_esg.jsonl,2022
other,LSE_RIGD_ESG,True,False,"Reliance R&D teams to absorb the impact of energy on 5,000 acres in Jamnagar, are actively working to make CO2 a transition costs, carbon taxes or comprising four Giga Factories.",LSE_RIGD_2022_esg.jsonl,2022
vision,LSE_RIGD_ESG,True,False,"RIL keeps its stakeholders abreast photovoltaic module factory, an Commercial Risks Operational Risks Control Risks Risks As we transition into a New Energy of its climate change goals through advanced energy storage battery era, targets for periodic reductions ongoing engagement.",LSE_RIGD_2022_esg.jsonl,2022
other,LSE_RIGD_ESG,True,False,are also setting up infrastructure in Jamnagar to manufacture ancillary The transition to a world that is Strategic and Commercial Risks material and equipment needed powered by clean energy is a capital to support the Giga Factories and intensive journey.,LSE_RIGD_2022_esg.jsonl,2022
other,LSE_RIGD_ESG,True,False,"RIL's strong balance enabling independent manufacturers sheet, operational efficiencies Climate Change and the Energy Transition Risk Description Commodity Prices and Markets Climate change is the biggest threat to humanity's collective and continued well-being.",LSE_RIGD_2022_esg.jsonl,2022
other,LSE_RIGD_ESG,True,False,"Despite a sharp demand recovery from the lows seen during the pandemic in 2020-21, total oil demand is yet to reach The accelerated pace of transition to a lower-carbon world will be accompanied by far-reaching changes in pre-pandemic levels either globally or in India.",LSE_RIGD_2022_esg.jsonl,2022
vision,LSE_RIGD_ESG,True,False,"the use of alternate energy sources coupled with technological advances and changing customer preferences have The crude oil market remains tight due to production from OPEC Plus countries falling short of their targets and the potential to lower demand for fossil fuels and their price, increase RIL's operational costs and prevent access to continued sanctions on Iran and Venezuela.",LSE_RIGD_2022_esg.jsonl,2022
other,LSE_RIGD_ESG,True,False,We have a 15-year vision to rebuild energy transition is a strategic focus energy by 2030 Reliance as one of the world's leading Risk Response of RIL's business continuity plans.,LSE_RIGD_2022_esg.jsonl,2022
vision,LSE_RIGD_ESG,True,False,"Also, the Company the problem of Climate Change, creating sustainable energy sources energy ecosystem such as revised product placement the demand variability issues in the has been targeting more end users/ New Energy is poised to provide a and materials for India's future needs, strategies, placement in deficit domestic market.",LSE_RIGD_2022_esg.jsonl,2022
other,LSE_RIGD_ESG,True,False,The Company buyers for exports and offering • Invest in enhancing the value reliable solution to Climate Mitigation.,LSE_RIGD_2022_esg.jsonl,2022
vision,LSE_RIGD_ESG,True,False,"We aim to Storage technologies to convert supply chain network and additional started to supply or increased ` Carbon Zero operations well as non-conventional feedstocks invest 75,000 crore by 2024 to: carbon dioxide into useful products temporary warehouses closer to volumes to some countries in Africa and chemicals.",LSE_RIGD_2022_esg.jsonl,2022
vision,LSE_RIGD_ESG,True,False,"The Company aims to play a meaningful role in meeting its Net Zero target, digitalisation Code of Conduct the country's growing energy demand sustainably by making its New Energy is one factor that enables the business truly global.",LSE_RIGD_2022_esg.jsonl,2022
vision,LSE_RIGD_ESG,True,False,"As a part of Reliance’s long-term strategy on emission reduction, the Company continues to earn the trust of its is committed to reducing its overall operational GHG footprint – Scope 1 or The Company's initiatives will stakeholders.",LSE_RIGD_2022_esg.jsonl,2022
vision,LSE_RIGD_ESG,True,False,"contribute towards the United Nations Conduct Policy ensures integrity, Sustainable Development Goals (UN accountability, and transparency SDGs) to combat climate change, in the Company.",LSE_RIGD_2022_esg.jsonl,2022
other,LSE_RIGD_ESG,True,False,"Using Carbon Dioxide (CO ) as a recyclable resource and on its website: https://www.ril.com/ 2 worldwide, as part of a nine member investorrelations/downloads.aspx transcend from dialogue to action age technologies and establishing adopting Carbon Capture Utilisation and Sequestration New Energy Council.",LSE_RIGD_2022_esg.jsonl,2022
other,LSE_RIGD_ESG,True,False,Reliance to continue to ensure regulatory Management continues to manage its existing risks while 3 Energy Efficiency grave impact on a company’s reputational compliance to build trust among its parallelly identifying any new risks that may risk.,LSE_RIGD_2022_esg.jsonl,2022
other,LSE_RIGD_ESG,True,False,"Hence, it is important that Reliance of Operations With the criticality of climate change impacts stakeholder groups while also ensuring that impact its ability to create value over the continues its conscious efforts to ensure being manifested in unpredictable weather its operations are in line with relevant and long run.",LSE_RIGD_2022_esg.jsonl,2022
governance,LSE_RIGD_ESG,True,False,Reliance understands that the Consumption in RIL • Power electronics systems regulations and periodically audits global new energy agenda needs to move from dialogue to action and commitment required to support renewable operations to confirm compliance.,LSE_RIGD_2022_esg.jsonl,2022
marketing,LSE_RIGD_ESG,True,False,"Reliance Reliance adopts a comprehensive emissions across its manufacturing ` Reliance has started developing the announced an investment of 75,000 in the Leadership strategy at the Group level that units.",LSE_RIGD_2022_esg.jsonl,2022
other,LSE_RIGD_ESG,True,False,"Retrofitting investments are made Dhirubhai Ambani Green Energy Giga crore to build an end-to-end green establishes company-wide HSE across every manufacturing division United Nations SDGs Complex on 5,000 acres in Jamnagar, band energy ecosystem.",LSE_RIGD_2022_esg.jsonl,2022
governance,LSE_RIGD_ESG,True,False,defined HSE audit programme to verify System (CEMS) has enabled Reliance become a global leader in Clean aims to build four Giga factories to that management standards are to adhere to local standards for and Green Energy and Materials.,LSE_RIGD_2022_esg.jsonl,2022
vision,LSE_RIGD_ESG,True,False,"Initiatives like converting on accelerating the adoption of ecosystem with the aim of bridging The Group Safety and Operational Risk organic waste into bio-manure clean energy through a path of 'Just the green energy divide in India and team monitor the quarterly evaluation through vermicomposting, stringent Transition'.",LSE_RIGD_2022_esg.jsonl,2022
action,LSE_RIGD_ESG,True,False,Energy Efficiency of DGs are replaced with a 100 AH Dedicated Energy Teams pursue The Company has also achieved a Operations additional Li-ion battery.,LSE_RIGD_2022_esg.jsonl,2022
other,LSE_RIGD_ESG,True,False,"As a global player, it is incumbent different energy usage parameters in upon Reliance to overcome the challenges of transitioning to a lower real-time.",LSE_RIGD_2022_esg.jsonl,2022
other,LSE_RIGD_ESG,True,False,"In FY 2021-22, the Company energy consumption at applicable systems that make the Company’s 3.12 million GJ ensured that it will continue its Reliance Jio has also been a significantly to the renewable energy energy management system agile, sites.",LSE_RIGD_2022_esg.jsonl,2022
